parity,species,lat,lon,elev,eggs_seen,hatchlings_seen,breed_ref,nest_depth,nest_shade,nest_ref
Oviparous,Sphaerodactylus_roosevelti,18,-66.9,58,,,,,,
Oviparous,Sphaerodactylus_townsendi,18.3,-65.7,168,,,,,,
Oviparous,Takydromus_septentrionalis,30.2,122.2,10,4,8,,NA,NA,
Oviparous,Takydromus_sexlineatus,24.8,113.6,66,4,8,,NA,NA,
Oviparous,Urosaurus_bicarinatus,16.929,-96.832,1183,,,,,,
Oviparous,Urosaurus_nigricaudus,23.555,-109.86,500,,,,,,
Oviparous,Urosaurus_ornatus,31.353,-106.565,1300,4,8,,NA,NA,
Oviparous,Uta_stansburiana,30.436,-116.029,6,5,8,,NA,NA,
Oviparous,Uta_stansburiana,39.5,-107.8,1851,5,8,,NA,NA,
Viviparous,Xantusia_riversiana,32.9,-118.5,349,3,11,,NA,NA,
Viviparous,Xantusia_vigilis,33.9,-116.4,383,4,8,,NA,NA,
