"","species","lat","lon","elev","month","tg","tap","tep","shade","depth","tenv"
"12161","Sceloporus_minor",20.874,-99.2241,2537,6,24.0649038365109,20.9129217746702,16.2801803072094,1,10,15.1131818836361
"12162","Sceloporus_minor",20.874,-99.2241,2537,6,24.0649038365109,20.9129217746702,16.0525972257662,1,15,15.1131818836361
"12163","Sceloporus_minor",20.874,-99.2241,2537,6,24.0649038365109,20.9129217746702,19.2219739472291,0.5,10,15.1131818836361
"12164","Sceloporus_minor",20.874,-99.2241,2537,6,24.0649038365109,20.9129217746702,18.5180750553207,0.5,15,15.1131818836361
"12165","Sceloporus_minor",20.874,-99.2241,2537,6,24.0649038365109,20.9129217746702,22.1637675872487,0,10,15.1131818836361
"12166","Sceloporus_minor",20.874,-99.2241,2537,6,24.0649038365109,20.9129217746702,20.9835528848751,0,15,15.1131818836361
"12167","Sceloporus_minor",20.874,-99.2241,2537,6,24.0649038365109,20.9129217746702,26.2555462808168,0,0,15.1131818836361
"12168","Sceloporus_minor",20.874,-99.2241,2537,6,24.0649038365109,20.9129217746702,23.3835200889027,0,5,15.1131818836361
"12169","Sceloporus_minor",20.874,-99.2241,2537,7,23.6985852187589,20.47436789109,15.463288083838,1,10,14.2550325450235
"12170","Sceloporus_minor",20.874,-99.2241,2537,7,23.6985852187589,20.47436789109,15.2367455922499,1,15,14.2550325450235
"12171","Sceloporus_minor",20.874,-99.2241,2537,7,23.6985852187589,20.47436789109,16.3571452549362,1,0,14.2550325450235
"12172","Sceloporus_minor",20.874,-99.2241,2537,7,23.6985852187589,20.47436789109,15.6924650623367,1,5,14.2550325450235
"12173","Sceloporus_minor",20.874,-99.2241,2537,7,23.6985852187589,20.47436789109,21.0263208078657,0.5,0,14.2550325450235
"12174","Sceloporus_minor",20.874,-99.2241,2537,7,23.6985852187589,20.47436789109,19.2218996434666,0.5,5,14.2550325450235
"12175","Sceloporus_minor",20.874,-99.2241,2537,7,23.6985852187589,20.47436789109,25.6954963607952,0,0,14.2550325450235
"12176","Sceloporus_minor",20.874,-99.2241,2537,7,23.6985852187589,20.47436789109,22.7513342245964,0,5,14.2550325450235
"12177","Sceloporus_minor",20.874,-99.2241,2537,7,23.6985852187589,20.47436789109,21.5458501233032,0,10,14.2550325450235
"12178","Sceloporus_minor",20.874,-99.2241,2537,7,23.6985852187589,20.47436789109,20.3587889264101,0,15,14.2550325450235
"12179","Sceloporus_minor",20.874,-99.2241,2537,7,23.6985852187589,20.47436789109,18.5045691035706,0.5,10,14.2550325450235
"12180","Sceloporus_minor",20.874,-99.2241,2537,7,23.6985852187589,20.47436789109,17.79776725933,0.5,15,14.2550325450235
"12181","Sceloporus_minor",20.874,-99.2241,2537,8,23.5274635924636,20.9679087164919,25.6168180935067,0,0,14.2493331109038
"12182","Sceloporus_minor",20.874,-99.2241,2537,8,23.5274635924636,20.9679087164919,15.4504263649108,1,10,14.2493331109038
