"","parity","species","lat","lon","elev","topt_a","ctmin_a","ctmax_a","source","za","ze","n","source_lh","activity","substrate","biome","eggs_seen","hatchlings_seen","breed_ref","breed_other_species","nest_depth","nest_shade","nest_ref"
"26","Oviparous","Phrynosoma_cornutum",30.825,-108.474,1435,34.2,9.46,47.9,"dg",16.98,0.48,27.9,"dg","Diurnal","Terrestrial","Temperate Grasslands, Savannas & Shrublands",7,9,21,"",10,0,7
"27","Oviparous","Phrynosoma_coronatum",23.969,-109.938,29,34.7,12.8,44.4,"dg",18.2,1.05,11.8,"dg","Diurnal","Terrestrial","Deserts & Xeric Shrublands",5,8,21,"",NA,NA,NA
"28","Oviparous","Platysaurus_intermedius",-24.6,31.2,544,33,8.9,44.8,"b",11.0338748307499,0.358416655675854,2,"sb","Diurnal","Saxicolous","Tropical & Subtropical Grasslands, Savannas & Shrublands",9,3,23,"Platysaurus_sp",NA,NA,NA
"29","Oviparous","Podarcis_muralis",40.7,-4.1,1164,36.6,8.3,44.2,"b",6.04669899666445,0.357940570593842,3.6,"sb","Diurnal","Saxicolous&Terrestrial","Temperate Broadleaf & Mixed Forests",4,8,24,"",15,NA,8
"30","Oviparous","Psammodromus_algirus",40.6,-5.9,923,36.1,7,43.5,"b",7.4259278960404,0.506373278214477,3.6,"sb","Diurnal","Arboreal&Saxicolous&Terrestrial","Mediterranean",4,8,25,"",5,1,9
"31","Oviparous","Psammodromus_hispanicus",40.4,-4.3,730,35.6,8.8,45.5,"b",2.68521251236553,0.226889325776162,2.9,"sb","Diurnal","Terrestrial","Mediterranean",4,8,25,"",NA,NA,NA
"32","Oviparous","Sceloporus_aeneus",19.199,-99.847,3220,34.4,12.9,39.8,"dg",4.57,0.62,6.66,"dg","Diurnal","Terrestrial","Tropical & Subtropical Coniferous Forests",5,8,27,"",5,0,10
"33","Oviparous","Sceloporus_brownorum",21.842,-101.714,2200,34.5,11.3,42.5,"dg",2.3,0.22,9,"dg","Diurnal","Terrestrial","Tropical & Subtropical Coniferous Forests",4,9,29,"Sceloporus_scalaris",NA,NA,NA
"34","Oviparous","Sceloporus_chrysostictus",19.08,-91.05,2,35.8,19.2,40.7,"dg",5.25,0.54,2.45,"dg","Diurnal","Terrestrial","Tropical & Subtropical Moist Broadleaf Forests",5,8,30,"Sceloporus_spinosus",NA,NA,NA
"35","Oviparous","Sceloporus_cowlesi",26.806,-102.017,716,35.6,13.1,41.6,"dg",8.91,0.62,9.1,"dg","Diurnal","Arboreal&Saxicolous","Deserts & Xeric Shrublands",6,8,31,"",NA,NA,NA
"36","Oviparous","Sceloporus_cozumelae",21.42,-87.678,2,34.5,17.7,42.1,"dg",3.94641465684581,0.58182529848534,1.8,"sb","Diurnal","Terrestrial","Tropical & Subtropical Moist Broadleaf Forests",4,9,32,"",NA,NA,NA
"37","Oviparous","Sceloporus_gadoviae",19.178,-102.038,616,34.6,15.9,41.2,"dg",5.5,0.72,3.75,"dg","Diurnal","Saxicolous","Tropical & Subtropical Dry Broadleaf Forests",1,12,35,"",NA,NA,NA
